Scientific Name|Common Name|# of States 2005|States 2005|# of States 2015|States 2015|Taxonomic Group
Rangifer tarandus|reindeer|2|Idaho,Washington|2|Idaho,Washington|Mammals
Reithrodontomys fulvescens|Fulvous Harvest Mouse|1|Kansas|2|Arizona,Kansas|Mammals
Scalopus aquaticus|topos|2|North Carolina,Ohio|2|Rhode Island,Texas|Mammals
Sciurus griseus|Western Gray Squirrel|2|Oregon,Washington|2|Oregon,Washington|Mammals
Sciurus niger bachmani|Bachman Fox Squirrel|0||2|Louisiana,Mississippi|Mammals
Sciurus niger shermani|Sherman's fox squirrel|2|Florida,Georgia|2|Florida,Georgia|Mammals
Sorex arcticus|black-backed shrew|3|Michigan,Montana,North Dakota|2|Montana,North Dakota|Mammals
Sorex arizonae|Arizona Shrew|2|Arizona,New Mexico|2|Arizona,New Mexico|Mammals
Sorex cinereus fontinalis|Maryland shrew|1|Delaware|2|Delaware,Pennsylvania|Mammals
Sorex haydeni|Hayden's shrew|2|Iowa,Wyoming|2|Iowa,Wyoming|Mammals
Sorex hoyi winnemana|southern pygmy shrew|3|Maryland,North Carolina,West Virginia|2|Maryland,West Virginia|Mammals
Sorex monticolus|Montane Shrew|2|Alaska,Nevada|2|Alaska,Nevada|Mammals
Sorex palustris albibarbis|Northern Water Shrew|0||2|New Hampshire,Pennsylvania|Mammals
Stenella attenuata|Pantropical Spotted Dolphin|2|American Samoa,Hawaii|2|American Samoa,Hawaii|Mammals
Stenella longirostris|long-snouted spinner dolphin|4|Guam,Hawaii,Northern Mariana Islands,Puerto Rico|2|Guam,Hawaii|Mammals
Stenella longirostris longirostris|Spinner Dolphin|1|American Samoa|2|American Samoa,Northern Mariana Islands|Mammals
Stenoderma rufum|red fruit bat|2|Puerto Rico,Virgin Islands|2|Puerto Rico,Virgin Islands|Mammals
Tamias minimus|Least Chipmunk|3|Arizona,Michigan,Nebraska|2|Arizona,Nebraska|Mammals
Tamias quadrivittatus|Colorado Chipmunk|1|Oklahoma|2|Arizona,Oklahoma|Mammals
Thomomys bottae|Botta's Pocket Gopher|0||2|Nevada,Texas|Mammals
Thomomys idahoensis|Idaho Pocket Gopher|3|Idaho,Utah,Wyoming|2|Utah,Wyoming|Mammals
Thomomys talpoides|Northern Pocket Gopher|1|Minnesota|2|Arizona,Minnesota|Mammals
Urocitellus elegans nevadensis|Wyoming Ground Squirrel (Southwest Idaho popn.)|1|Nevada|2|Idaho,Nevada|Mammals
Urocitellus washingtoni|Washington Ground Squirrel|2|Oregon,Washington|2|Oregon,Washington|Mammals
Vulpes vulpes necator|Sierra Nevada Red Fox|2|California,Nevada|2|California,Oregon|Mammals
Alces americanus americanus|Moose|0||1|Maine|Mammals
Ammospermophilus harrisii|Harris' antelope squirrel|0||1|Arizona|Mammals
Ammospermophilus interpres|Texas Antelope Squirrel|1|Texas|1|Texas|Mammals
Ammospermophilus leucurus tersus|Prospect Valley White-tailed Antelope Squirrel|1|Arizona|1|Arizona|Mammals
Ammospermophilus nelsoni|San Joaquin antelope ground squirrel|1|California|1|California|Mammals
Antilocapra americana americana|America Pronghorn|1|Arizona|1|Arizona|Mammals
Antilocapridae|pronghorns|0||1|California|Mammals
Aplodontia rufa humboldtiana|Humboldt mountain beaver|0||1|California|Mammals
Aplodontia rufa nigra|Point Arena Mountain Beaver|1|California|1|California|Mammals
Aplodontia rufa phaea|Point Reyes mountain beaver|1|California|1|California|Mammals
Arborimus longicaudus|Red Tree Vole|1|Oregon|1|Oregon|Mammals
Arborimus pomo|Sonoma Tree Vole|1|California|1|California|Mammals
Arctocephalus townsendi|Guadalupe Fur Seal|1|California|1|California|Mammals
Baiomys taylori|Northern Pygmy Mouse|2|Arizona,New Mexico|1|Louisiana|Mammals
Balaena mysticetus|black right whale|1|Alaska|1|Alaska|Mammals
Balaenoptera bonaerensis|Antarctic Minke Whale|0||1|American Samoa|Mammals
Bassariscus astutus octavus|Southern California ringtail|0||1|California|Mammals
Bassariscus astutus willetti|Palo Verde Mountains ringtail|0||1|California|Mammals
Bassariscus astutus yumanensis|Yuma ringtail|0||1|California|Mammals
Blarina hylophaga|Elliot's Short-tailed Shrew|1|Iowa|1|Iowa|Mammals
Blarina hylophaga plumbea|Aransas short-tailed shrew|1|Texas|1|Texas|Mammals
Bovidae|antelopes|0||1|California|Mammals
